,bed_availability,budget_range,location,ownership,name,services,specialty,address
Immediate,133,427105,Thiruvottyur,Private,GOVERNMENT HOSPITAL,Daycare,Neurology,NO.181 TH ROAD THIRUVOTTIYUR CHENNAI 600019
Unavailable,71,490341,Thiruvottyur,Private,PRASADS MULTI SPECIALITY HOSPITAL,OPD,ENT,"NO. 949, TH ROAD, THIRUVOTTIYUR CHENNAI 600019"
Unavailable,168,111385,Thiruvottyur,Private,SRI TANISHQ NAKSHATHRA,Emergency,Gynaecology,"NO.170, TH ROAD, THIRUVOTTIYUR CHENNAI 600019"
Immediate,89,485715,Thiruvottyur,Private,KURINCHI HOSPITAL,Daycare,ENT,"964, TH ROAD, THIRUVOTTIYUR, CHENNAI 600019"
Immediate,160,196021,Thiruvottyur,Private,SHANMUGA SURGICAL AND MEDICAL CENTRE,Emergency,Gastro-intestinal,1030/96 THIRUVOTTIYUR RAJAKADAI 600019
Scheduled,92,165374,Thiruvottyur,Private,SHANMUGA SURGICAL & MEDICAL CENTRE,OPD,Orthopedics,1030/96 THIRUVOTTIYUR RAJAKADAI 600019
Unavailable,45,228336,Thiruvottyur,Private,SHANMUGA SURGICAL AND MEDICAL CENTRE,Inpatient,Cardiology,1030/96 THIRUVOTTIYUR RAJAKADAI 600019
Scheduled,84,51020,Thiruvottyur,Private,KURINJI HOSPITAL,Inpatient,General,"964,T.H ROAD THIRUVOTTIYUR KALADIPET POLICE
STATION  600019"
Scheduled,79,437722,Thiruvottyur,Private,ROHIT HOSPITAL,Laboratory,Pediatrics,"1030/96,T.H.ROAD THIRUVOTTIYUR RAJAKADAI
600019"
Scheduled,121,251691,Thiruvottyur,Private,SHANMUGAM SURG & MED CENTRE,Daycare,Pediatrics,"1031,T. H. ROAD THIRUVOTTIYUR RAJAKADAI 600019"
Immediate,117,349174,Thiruvottyur,Private,GOVT HOSPITAL,OPD,Orthopedics,"277,T.H.ROAD THIRUVOTTIYUR ELLAIAMMAN KOIL
600019"
Immediate,167,393694,Thiruvottyur,Private,SUMAN HOSPITAL,OPD,Gynaecology,"NO. 40, SATHANGADU HIGH ROAD, KALADIPET,
THIRUVOTTIYUR, CHENNAI 600019"
Immediate,126,439968,Thiruvottyur,Private,VANDANA HOSPITAL,Home Nursing,Neurology,"96/24,VILLAGE STREET THIRUVOTTIYUR
SATHANGADU 600019"
Immediate,95,351942,Thiruvottyur,Private,SUMAN HOSPITAL,OPD,General,"63-A1,A2,JANDRAWAR STREET THIRUVOTTIYUR
RAJAKADAI 600019"
Unavailable,76,391412,Thiruvottyur,Private,ARAVINTH CLINIC,Inpatient,Neurology,"3,P.P.DHARGA ROAD THIRUVOTTIYUR SATHANGADU
600019"
Unavailable,121,349389,Thiruvottyur,Private,ROHIT HOSPITAL,Inpatient,Cardiology,"98/1031, TH ROAD, KALADIPET, CHENNAI 600019"
Unavailable,182,241174,Manali,Private,GOVT. PRIMARY HEALTH CENTRE,Emergency,Cardiology,MAIN ROAD MANALI PUDU NAGAR 600103
Unavailable,193,241937,Manali,Private,GOVT. PRIMARY HEALTH CENTRE,OPD,Gastro-intestinal,PADASALAI STREET   MANALI 600068
Unavailable,138,147295,Manali,Private,LAKSHMI NURSING HOME,Home Nursing,ENT,"H.I.G. NO.435, MATHUR UNION ROAD MMDA,
MATHUR CHENNAI 600068"
Scheduled,107,172006,Manali,Private,JEEVODAYA HOSPITAL,Daycare,General,"NEW NO.1/272, KAMARAJ ROAD MATHUR, CHENNAI
600068"
Scheduled,68,273953,Manali,Private,ANAND HOSPITAL,Home Nursing,ENT,"NO.201, KAMARAJAR SALAI MANALI, CHENNAI
600068"
Unavailable,144,194495,Manali,Private,SRINIVASA HOSPITAL,Emergency,Gynaecology,KAMARAJ SALAI MANALI 600068
Unavailable,55,85139,Manali,Private,ANANTH HOSPITAL,Emergency,Neurology,KAMARAJ SALAI MANALI 600068
Immediate,105,487185,Manali,Private,SORNAM MEDICAL CENTRE,Home Nursing,Gynaecology,NO 323/214 KAMARAJ SALAI   MANALI 600068
Scheduled,55,248607,Madhavaram,Private,ST. ANTONYS HOSPITAL,Home Nursing,General,"ANTHONIYAR  KOIL STREET PUZHAL CHENNAI
600066"
Immediate,170,308931,Madhavaram,Private,LAKE VIEW HOSPITAL,Home Nursing,General,PRH ROAD LAKSHMIPURAM CHENNAI 600099
Unavailable,24,278267,Madhavaram,Private,MADHAVARAM MUNICIPAL HOSPITAL,Laboratory,Gynaecology,MADHAVARAM MADHAVARAM CHENNAI 600060
Scheduled,103,310799,Madhavaram,Private,GOVERNMENT HOSPITAL,Inpatient,ENT,MMC MMC CHENNAI 600051
Unavailable,142,132938,Madhavaram,Private,PRIYA NURSING HOME,Inpatient,Pediatrics,MRH ROAD MADHAVARAM CHENNAI 600060
Immediate,164,323777,Madhavaram,Private,KM MULTI SPECIALITY HOSPITAL,Inpatient,Gastro-intestinal,"8,ANNAI VELANKANNI NAGAR MMC CHENNAI 600051"
Scheduled,164,269350,Madhavaram,Private,VENETHA NURSING HOME,Laboratory,General,MRH ROAD MADHAVARAM CHENNAI 600060
Immediate,113,109521,Madhavaram,Private,ST.ANTONY'S HOSPITAL,Inpatient,Cardiology,MRH ROAD MADHAVARAM CHENNAI 600060
Scheduled,130,176826,Madhavaram,Private,MURARI HOSPITAL,Emergency,Orthopedics,MRH ROAD MADHAVARAM CHENNAI 600060
Immediate,103,358337,Madhavaram,Private,NM FERTILITY AND SURGICAL CARE CENTRE,Laboratory,Gastro-intestinal,"NO. 203, KKR GARDEN FIRST MAIN ROAD,
THABALPETTI, MADHAVARAM, CHENNAI 600060"
Scheduled,181,69127,Madhavaram,Private,SRI KUMARAN HEALTH CENTRE,Laboratory,Gastro-intestinal,"200 FT INNER RING ROAD LAKSHMIPURAM CHENNAI
600099"
Unavailable,189,40603,Madhavaram,Government,MAYA NURSING HOME,Emergency,ENT,PRH ROAD LAKSHMIPURAM CHENNAI 600099
Immediate,48,278488,Tondiarpet,Private,NOOR HOSPITAL,Home Nursing,Gastro-intestinal,"13,SEETHARAM NAGAR 7TH ST,CHINNA
KODUNGAIYUR, CHENNAI.118 600118"
Unavailable,101,401239,Tondiarpet,Private,SRI SELVAN NURSING HOME,Laboratory,Cardiology,"5/811, MOSQUE STREET, KODUNGAIYUR, CHENNAI
600118"
Unavailable,22,367844,Tondiarpet,Private,TEST,Laboratory,Pediatrics,TEST TEST TEST 0
Unavailable,182,122330,Tondiarpet,Private,SUBHASH NURSING HOME,Emergency,Gastro-intestinal,"70, MUTHAMIZH NAGAR, KODUNGAIYUR,3RD BLOCK,
CHENNAI 600118"
Immediate,169,414588,Tondiarpet,Private,FATHIMA NURSING HOME,Laboratory,ENT,"6, A.P.ARASU STREET, MOOLAKADAI,  CHENNAI
600118"
Scheduled,178,112052,Tondiarpet,Private,"SRI SELVAN NURSING HOME,",OPD,Pediatrics,"5/811, MOSQUE STREET, KODUNGAIYUR, CHENNAI
600118"
Unavailable,166,69015,Tondiarpet,Private,NRV HOSPITAL,Home Nursing,Gynaecology,"NO.86/A, KAMARAJ SALAI,  KODUNGAIYUR, CHENNAI
600118"
Unavailable,172,29900,Tondiarpet,Government,SRI DURGA HEALTH CENTRE,Daycare,ENT,"86/2,V.V.GIRI SALAI VIVEKANANDA NAGAR
KODUNGAIYUR,CH118 600118"
Scheduled,35,217233,Tondiarpet,Private,INDIAN MECHINARY HOSPITAL,Emergency,Gynaecology,"35, II CROSS ROAD, M.R.MUNUSWAMY NAGAR,
KODUNGAIYUR,CHENNAI 600118"
Scheduled,83,104849,Tondiarpet,Private,ARUJUN POLY CLINIC,Emergency,ENT,"482, MEENAMBAL ROAD, KANNADASAN NAGAR,
CHENNAI 600118"
Unavailable,120,261637,Tondiarpet,Private,ARJUN POLY CLINIC,Laboratory,Orthopedics,"482,MEENAMBAL ROAD, KANNADASAN NAGAR,
CHENNAI 600118"
Scheduled,128,165461,Tondiarpet,Private,KVT HEALTH CENTRE,Home Nursing,Gastro-intestinal,"16, G.N.T.ROAD, MOOLAKADAI, CHENNAI 600060"
Immediate,63,235191,Tondiarpet,Private,PAVITHRA NURSING HOME,Emergency,Psychiatry,"7, ETHIRAJ SALAI, ERUKKANCHERY, CHENNAI
600118"
Unavailable,125,374298,Tondiarpet,Private,THAYAM NURSING HOME,Emergency,Orthopedics,"368, WEST AVENUE, VYSARPADI, CHENNAI 600039"
Unavailable,172,337637,Tondiarpet,Private,SRI BALAJI HOSPITAL,Emergency,Gastro-intestinal,"68, M.K.B.NAGAR, CHENNAI   600039"
Scheduled,48,124275,Tondiarpet,Private,"SRI SAKTHI NURSING HOME,",Inpatient,General,"65, 12TH WEST STREET, M.K.B.NAGAR, CHENNAI
600039"
Immediate,85,260378,Tondiarpet,Private,K.M.HOSPITAL,Emergency,Gastro-intestinal,"167, E.H.ROAD, CHENNAI   600039"
Unavailable,82,333215,Tondiarpet,Private,NALAM HOSPITAL,OPD,Cardiology,"10A/3, 1ST CROSS STREET, MKB NAGAR CHENNAI
600039"
Immediate,176,147488,Tondiarpet,Private,NIRMALA HOSPITAL,Home Nursing,Psychiatry,"22, 2ND CROSS STREET, MKB NAGAR, CHENNAI
600039"
Immediate,115,74429,Tondiarpet,Private,NIRMALA HOSPITAL,Daycare,General,"22, 2ND CROSS STREET, MKB NAGAR, CHENNAI
600039"
Unavailable,105,342620,Tondiarpet,Private,C C NURSING HOME,OPD,Psychiatry,"AP.937 AND 504, 12TH CENTRAL CROSS STREET 6TH
MAIN ROAD, M.K.B.NAGAR, CHENNAI 600039"
Unavailable,51,128333,Tondiarpet,Private,ANNAI HOSPITAL,Home Nursing,Gastro-intestinal,"325, WEST AVENUE ROAD, MKB NAGAR, CHENNAI
600039"
Immediate,76,288568,Tondiarpet,Private,AROKYA NURSING HOME,Inpatient,General,"ENNORE HIGH ROAD, SUNDARAM PILLAI STREET,
CHENNAI 600118"
Scheduled,43,273903,Tondiarpet,Private,M.R.S.HOSPITAL,Home Nursing,General,"4,NEHRU NAGAR MAIN ROAD GANTHI
NAGAR,TONDIARPET CHENNAI.81 600081"
Immediate,109,67026,Tondiarpet,Private,GOWTHAM NURSING HOME,OPD,General,"3, MAIN STREET, NETHAJI NAGAR,
TONDIARPET,CHENNAI 600081"
Scheduled,30,85462,Tondiarpet,Private,PARVATHYAMMAL HOSPITAL,Emergency,Gynaecology,"13, IST STREET, DURGADEVI NAGAR, TONDIARPET,
CHENNAI 600081"
Immediate,100,362749,Tondiarpet,Private,MUTHU NURSING HOME,Home Nursing,Gynaecology,"35, NETHAJI NAGAR, TONDIARPET, CHENNAI 600081"
Immediate,141,162024,Tondiarpet,Private,VASAN HEALTH CARE PVT LTD,Inpatient,Gastro-intestinal,"447, T.H. ROAD PLD WASHERMENPET  CHENNAI
600021"
Unavailable,112,456565,Tondiarpet,Private,J P NURSING HOME,Laboratory,Pediatrics,"7, VEERARAGAVA ROAD, CHENNAI   600081"
Scheduled,51,158449,Tondiarpet,Private,JAYA NURSING HOME,Emergency,Cardiology,740 T.H.ROAD CH81 600081
Scheduled,23,136254,Tondiarpet,Private,NEW WASHERMANPET CWC,Home Nursing,ENT,"4TH STREET, CHERIAN NAGAR, NEW
WASHERMANPET, CHENNAI 600081"
Scheduled,195,97560,Tondiarpet,Private,BALAJI HOSPITAL,Home Nursing,Orthopedics,"86/293,T.H.ROAD, NEW WASHERMANPET, CHENNAI
600081"
Immediate,144,262241,Tondiarpet,Private,SUDHA CLINIC,Emergency,ENT,"740, T.H.ROAD, CHENNAI   600081"
Scheduled,89,58195,Tondiarpet,Private,J.K.HOSPITAL,Laboratory,ENT,"90, T.H.ROAD, CHENNAI   600081"
Immediate,194,310225,Tondiarpet,Private,NEW WASHERMANPET CWC,OPD,Psychiatry,"CHERIAN NAGAR, CHENNAI   600021"
Immediate,72,123163,Tondiarpet,Private,MADRAS DOCK LABOUR BOARD HOSPITAL,Laboratory,Gastro-intestinal,"TONDAIARPET, CHENNAI   600081"
Unavailable,173,16435,Tondiarpet,Government,RAMAIAH NURSING HOME,Laboratory,Cardiology,"4, L.I.G.COLONY,CROSS ROAD, NEW
WASHERMANPET, CHENNAI 600081"
Scheduled,39,352687,Tondiarpet,Private,SUN NURSING HOME,Laboratory,Orthopedics,"7, CORPORATION COLONY, TONDIARPET, CHENNAI
600081"
Unavailable,150,44763,Tondiarpet,Government,GOVERNMENT PERIPHERAL HOSPITAL,Home Nursing,Gynaecology,"KAYIAM MUDALI STREET, TONDIARPET, CHENNAI
600081"
Unavailable,33,113945,Tondiarpet,Private,ARUN HOSPITAL,Laboratory,Pediatrics,"15/32 PILLAIYAR KOIL ST TONDIARPET,CH.81 600081"
Scheduled,146,481914,Tondiarpet,Private,GAYATHRI NURSING HOME,Laboratory,ENT,"21, V.P.KOIL STREET, TONDIARPET, CHENNAI 600081"
Unavailable,36,330630,Tondiarpet,Private,MALLIGAI HOSPITAL,Daycare,General,"33, KANAKAPILLAI STREET, TONDIARPET, CHENNAI
600021"
Scheduled,155,19574,Tondiarpet,Government,EZHIL HOSPITAL,Laboratory,Neurology,"183, T.H.ROAD, TONDIARPET, CHENNAI 600081"
Scheduled,69,222094,Tondiarpet,Private,M.K.NURSING HOME,Emergency,Psychiatry,"46, RATHNASABAPATHY STREET, CHENNAI   600021"
Unavailable,67,148599,Tondiarpet,Private,APOLLO HOSPITAL,Emergency,Orthopedics,"646, T.H.ROAD, TONDIARPET, CHENNAI 600081"
Scheduled,178,368315,Tondiarpet,Private,RUDRACELLA CLINIC CARE,OPD,Gastro-intestinal,"599,T.H.ROAD, TONDIARPET CHENNAI 600081"
Immediate,192,157479,Tondiarpet,Private,RASI HOSPITAL,Laboratory,Orthopedics,"573,T.H.ROAD, CHENNAI   600021"
Unavailable,143,183806,Tondiarpet,Private,GANGA NURSING HOME,Laboratory,Gynaecology,"280, T.H.ROAD, WASHERMANPET, CHENNAI 600021"
Immediate,26,215301,Tondiarpet,Private,AATHITHYAN HOSPITAL,Daycare,Gastro-intestinal,"549, T.H.ROAD, CHENNAI   600021"
Unavailable,23,139541,Tondiarpet,Private,PRASATH NURSING HOME,Daycare,Neurology,"575, T.H.ROAD, CHENNAI   600021"
Immediate,75,441605,Tondiarpet,Private,SUMANGALI NURSING HOME,OPD,Psychiatry,"267, T.H.ROAD, CHENNAI   600021"
Unavailable,108,53217,Tondiarpet,Private,RAASI HOSPITAL,Laboratory,Pediatrics,"573, T.H.ROAD, CHENNAI   600021"
Unavailable,133,165776,Tondiarpet,Private,PADMAM HOSPITAL,Daycare,Pediatrics,"1, VEERAKUTTY STREET, OLD WASHERMANPET,
CHENNAI 600021"
Immediate,177,327627,Tondiarpet,Private,K.J.NURSING HOME,OPD,Gynaecology,"272, T.H.ROAD, CHENNAI   600021"
Scheduled,118,74589,Tondiarpet,Private,RANGA NURSING HOME,Home Nursing,Cardiology,"287, T.H.ROAD, OLDWASHERMANPET, CHENNAI
600021"
Immediate,60,101728,Tondiarpet,Private,RAM NURSING HOME,Inpatient,Pediatrics,"248, T.H.ROAD,  TONDIARPET CHENNAI 600081"
Unavailable,158,65459,Tondiarpet,Private,COMMUNICABLE DISEASE HOSPITAL,Laboratory,Orthopedics,"182, T.H.ROAD, CHENNAI   600021"
Unavailable,174,177986,Tondiarpet,Private,AISWARYA HOSPITAL,Home Nursing,General,"65A,MELPATTY PONNAPPAN ST,PERAMBUR,
CHENNAI   600039"
Scheduled,115,448136,Tondiarpet,Private,PARVATHAM HOSPITAL,OPD,Psychiatry,"15, M.H.ROAD, PERAMBUR  CHENNAI 600011"
Unavailable,117,468603,Tondiarpet,Private,PERAMBUR CWC,Inpatient,Pediatrics,"100, KAMARAJAR II STREET, CHENNAI   600039"
Immediate,200,435224,Tondiarpet,Private,ELANGO NAGAR CWC,OPD,Cardiology,"18, DR.AMBEDKAR COLLEGE ROAD, VYASARPADI,
CHENNAI 600039"
Scheduled,61,209245,Tondiarpet,Private,SRIVAHANI HOSPITAL,Emergency,Gastro-intestinal,ERUKKANCHERY  CHENNAI   600039
Unavailable,119,82566,Tondiarpet,Private,VASANTHAMANI NURSING HOME,Home Nursing,Orthopedics,"136, JEEVA NAGAR,8TH STREET, KORUKKUPET,
CHENNAI 600021"
Scheduled,154,480771,Tondiarpet,Private,SUGAIL NURSING HOME,Laboratory,Pediatrics,"54, VIJAYARAGAVALU STREET, CHENNAI   600021"
Scheduled,93,283470,Tondiarpet,Private,R.K.NAGAR CWC,Daycare,Orthopedics,"88 K.H.ROAD, KORRUKUPET, CHENNAI 600021"
Unavailable,166,15502,Tondiarpet,Government,ORION HOSPITAL,Home Nursing,Gastro-intestinal,"18,ARUMUGAM ST OLD WASHERMENPET
CHENNAI21 600021"
Immediate,84,14866,Tondiarpet,Government,DR.V.R.NAGAR CWC,Laboratory,Psychiatry,"474, T.H.ROAD, CHENNAI   600081"
Unavailable,126,451734,Tondiarpet,Private,DHANVANTHIRI MULTI SPECIALITY HOSPITAL,Inpatient,Cardiology,"NO. 10/18, ARUMUGAM STREET OLD
WASHERMENPET CHENNAI 600021"
Immediate,143,70405,Tondiarpet,Private,"ANGEL NURSING HOME,",Inpatient,Psychiatry,"66, TELUGU CHETTY STREET, OLDWASHERMANPET,
CHENNAI 600021"
Immediate,116,199155,Tondiarpet,Private,LAXMI NURSING HOME,Laboratory,Psychiatry,"12, SUNDARA VINAYAKAR KOIL STREET, CHENNAI
600021"
Unavailable,110,37568,Tondiarpet,Government,A.V.HOSPITAL,Emergency,Gastro-intestinal,"172, SOLAIAPPAN STREET CHENNAI   600021"
Scheduled,106,450464,Tondiarpet,Private,ISWARYA NURSING HOME,Emergency,Orthopedics,"12, KURESAN STREET, CHENNAI.21   600021"
Unavailable,139,409770,Tondiarpet,Private,MOTTAI GARDEN CWC,Home Nursing,Cardiology,"27/1, VENKATAKRISHNAN STREET, OLD
WASHERMANPET, CHENNAI 600021"
Unavailable,54,72061,Tondiarpet,Private,MEENAMBAL NAGAR CWC,Laboratory,Pediatrics,"KORRUKKUPET, R.K.NAGAR SOUTH CHENNAI 600021"
Scheduled,39,212795,Tondiarpet,Private,LOKAMMA HOSPITAL,Home Nursing,Orthopedics,"16/18, ARUMUGAM STREET, OLD WASHERMANPET,
CHENNAI 600021"
Scheduled,109,433031,Royapuram,Private,CITY POLICE HOSPITAL,Laboratory,Psychiatry,"POLICE COMAND CHIEF ROOM EGMORE CHENNAI
600008"
Immediate,83,413722,Royapuram,Private,CHRISTIAN MISSIONS CHARITABLE TRUST,OPD,Cardiology,"72, SPURTANK ROAD, CHETPET, CHENNAI 600031"
Unavailable,178,101203,Royapuram,Private,VANI HOSPITAL,OPD,ENT,"DR.C.VANITHA, THANDAVARAYAN MUDALI STREET,
CHENNAI 600021"
Scheduled,145,334520,Royapuram,Private,JEYAM NURSING HOME,Inpatient,Orthopedics,"53, THANDAVARAYAN STREET, OLD
WASHERMANPET, CHENNAI 600021"
Unavailable,23,295822,Royapuram,Private,SANJEEVARAYANPET CWC,Home Nursing,General,"194, SOLAIAPPAN STREET, CHENNAI   600021"
Unavailable,199,192965,Royapuram,Private,PRIYA NURSING HOME,Laboratory,Gastro-intestinal,"B-2, KAPPAL POLU STREET, CHENNAI   600021"
Scheduled,137,488342,Royapuram,Private,SHAKUNTALA DEVI MATERNITY HOSPITAL,Daycare,Psychiatry,"NO.16, THANDAVARAYAN STREET TODIARPET,
CHENNAI   600081"
Scheduled,23,57473,Royapuram,Private,C.S.I. RAINY HOSPITAL,Laboratory,ENT,"45, G.A.ROAD, CHENNAI    600021"
Immediate,39,262281,Royapuram,Private,SANJEEVINI NURSING HOME,Emergency,Pediatrics,"80,KAPPAL POLU STREET CHENNAI   600021"
Immediate,36,306211,Royapuram,Private,ESHA HOSPITAL,OPD,Orthopedics,"17/1, NEW THANDAVARAYA GRAMANI STREET, OLD
WASHERMENPET, CHENNAI 600021"
Scheduled,109,386836,Royapuram,Private,SANJEEVARAYANPET CWC,Daycare,ENT,"ROYAPURAM, ZONE 5, OLD WASHERMENPET,
CHENNAI 600021"
Scheduled,189,337880,Royapuram,Private,GANGA HOSPITAL,Home Nursing,General,"21, THANDAVARAYAN STREET, CHENNAI   600021"
Scheduled,171,82137,Royapuram,Private,NAGAMANI NURSING HOME,Laboratory,Pediatrics,"16, G.A.ROAD,  OLDWASHERMANPET, CHENNAI
600021"
Scheduled,65,428489,Royapuram,Private,VASANTHA NURSINGL HOME,OPD,ENT,"119, SANJEEVARAYAN KOIL STREET, CHENNAI
600021"
Scheduled,189,422814,Royapuram,Private,SRI KUMARAN HOSPITAL,Inpatient,Gynaecology,"NO.532, S.N.CHETTY STREET, ROYAPURAM,
CHENNAI 600013"
Immediate,137,225851,Royapuram,Private,NICHANI HEALTH CENTRE,Emergency,ENT,"10, ARTHOON ROAD ROYAPURAM CHENNAI 600013"
Scheduled,34,317004,Royapuram,Private,SAKTHI S HOSPITAL,Inpatient,Psychiatry,"46/1, WEST KALMANTABAM ROAD ROYAPURAM
CHENNAI 600013"
Scheduled,168,230223,Royapuram,Private,NICHANI HOSPITAL,OPD,ENT,"7, ARTHOON ROAD, ROYAPURAM, CHENNAI 600013"
Immediate,87,408152,Royapuram,Private,ISWARAYA NURSING HOME,Laboratory,Orthopedics,"2, ANDIYAPPA GRAMANI STREET, CHENNAI   600021"
Immediate,57,181495,Royapuram,Private,GRACE GARDEN CWC,Home Nursing,Neurology,"152, SURYANARAYANA CHETTY STREET, CHENNAI
600021"
